nombre,definicion_procedencia,tipo_conceptual,universo_aplicacion,faltantes_universo,faltantes_pct_universo,categorias_o_valores,papel,motivo_inclusion_exclusion,transformacion_prevista,observaciones
nivel,variable explicativa,codificada_o_conteo,solo aplica a asistencia escolar; no es escolaridad general,135571,0.9575643280430007,10,pendiente,No usar como escolaridad alcanzada sin resolver universo/definicion; nivel_desc mide nivel cursado actual.,excluir,
grado,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,135571,0.9575643280430007,6,pendiente,No usar como escolaridad alcanzada sin resolver universo/definicion; nivel_desc mide nivel cursado actual.,excluir,
nivelaprob,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,11,excluida,Se usa una representacion descriptiva equivalente cuando aplica.,excluir,
gradoaprob,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,7,pendiente,No usar como escolaridad alcanzada sin resolver universo/definicion; nivel_desc mide nivel cursado actual.,excluir,
residencia,variable explicativa,numerica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,34,pendiente,"Variable potencialmente util, pero queda fuera del set inicial hasta revisar etiquetas/interpretacion.",excluir,
edo_conyug,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,8,pendiente,"Variable potencialmente util, pero queda fuera del set inicial hasta revisar etiquetas/interpretacion.",excluir,
segsoc,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,excluida,Se usa la columna descriptiva correspondiente para interpretabilidad.,excluir,
trabajo_mp,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,pendiente,Insumo laboral con ruta o redundancia pendiente; no se incorpora en la matriz inicial.,excluir,
motivo_aus,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,140814,0.9945966562837709,12,pendiente,Insumo laboral con ruta o redundancia pendiente; no se incorpora en la matriz inicial.,excluir,
act_pnea1,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,136374,0.9632360731464412,6,pendiente,Insumo laboral con ruta o redundancia pendiente; no se incorpora en la matriz inicial.,excluir,
act_pnea2,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,141327,0.9982200750111245,4,pendiente,Insumo laboral con ruta o redundancia pendiente; no se incorpora en la matriz inicial.,excluir,
num_trabaj,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,5205,0.03676392685355879,2,pendiente,Insumo laboral con ruta o redundancia pendiente; no se incorpora en la matriz inicial.,excluir,
act_pnea1_desc,etiqueta descriptiva,categorica_descriptiva,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,136374,0.9632360731464412,6,pendiente,Insumo laboral con ruta o redundancia pendiente; no se incorpora en la matriz inicial.,excluir,
act_pnea2_desc,etiqueta descriptiva,categorica_descriptiva,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,141327,0.9982200750111245,4,pendiente,Insumo laboral con ruta o redundancia pendiente; no se incorpora en la matriz inicial.,excluir,
alfabetism_desc,etiqueta descriptiva,categorica_descriptiva,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
asis_esc_desc,etiqueta descriptiva,categorica_descriptiva,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
edo_conyug_desc,etiqueta descriptiva,categorica_descriptiva,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,8,pendiente,"Variable potencialmente util, pero queda fuera del set inicial hasta revisar etiquetas/interpretacion.",excluir,
etnia_desc,etiqueta descriptiva,categorica_descriptiva,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,pendiente,"Variable potencialmente util, pero queda fuera del set inicial hasta revisar etiquetas/interpretacion.",excluir,
hablaind_desc,etiqueta descriptiva,categorica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,predictor candidato,Incluida en el conjunto inicial parsimonioso.,one_hot_k_menos_1,
motivo_aus_desc,etiqueta descriptiva,categorica_descriptiva,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,140814,0.9945966562837709,12,pendiente,Insumo laboral con ruta o redundancia pendiente; no se incorpora en la matriz inicial.,excluir,
nivel_desc,etiqueta descriptiva,categorica_descriptiva,solo aplica a asistencia escolar; no es escolaridad general,135571,0.9575643280430007,10,pendiente,No usar como escolaridad alcanzada sin resolver universo/definicion; nivel_desc mide nivel cursado actual.,excluir,Describe nivel cursado actual; queda fuera de X inicial.
nivelaprob_desc,etiqueta descriptiva,categorica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,11,predictor candidato,Incluida en el conjunto inicial parsimonioso.,one_hot_k_menos_1,Escolaridad alcanzada seleccionada; no confundir con nivel_desc.
num_trabaj_desc,etiqueta descriptiva,categorica_descriptiva,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,5205,0.03676392685355879,2,pendiente,Insumo laboral con ruta o redundancia pendiente; no se incorpora en la matriz inicial.,excluir,
parentesco_desc,etiqueta descriptiva,categorica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,28,predictor candidato,Incluida en el conjunto inicial parsimonioso.,one_hot_k_menos_1,
residencia_desc,etiqueta descriptiva,categorica_descriptiva,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,34,pendiente,"Variable potencialmente util, pero queda fuera del set inicial hasta revisar etiquetas/interpretacion.",excluir,
segsoc_desc,etiqueta descriptiva,categorica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,predictor candidato,Incluida en el conjunto inicial parsimonioso.,one_hot_k_menos_1,
sexo_desc,etiqueta descriptiva,categorica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,predictor candidato,Incluida en el conjunto inicial parsimonioso.,one_hot_k_menos_1,
registros_ingreso,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,13,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
claves_ingreso_distintas,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,13,excluida,"Variable monetaria, componente de ingreso o derivado potencial del target; evita filtracion.",excluir,
ingreso_persona_total_registros_tri,ingreso,numerica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,47354,excluida,"Variable monetaria, componente de ingreso o derivado potencial del target; evita filtracion.",excluir,
ingreso_persona_laboral_negocio_tri,ingreso,target,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,42304,target,Ingreso que se pretende explicar.,target_activo,Target.
ingreso_persona_rentas_propiedad_tri,ingreso,numerica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,571,excluida,"Variable monetaria, componente de ingreso o derivado potencial del target; evita filtracion.",excluir,
ingreso_persona_transferencias_tri,ingreso,numerica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2552,excluida,"Variable monetaria, componente de ingreso o derivado potencial del target; evita filtracion.",excluir,
ingreso_persona_financiero_capital_tri,ingreso,numerica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,1782,excluida,"Variable monetaria, componente de ingreso o derivado potencial del target; evita filtracion.",excluir,
ingreso_persona_no_clasificado_tri,ingreso,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,1,excluida,"Variable monetaria, componente de ingreso o derivado potencial del target; evita filtracion.",excluir,
tiene_registros_ingreso,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,1,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
n_trabajos,variable explicativa,continua,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,3,predictor candidato,Incluida en el conjunto inicial parsimonioso.,continua_sin_escalar,
horas_trabajos_total,variable explicativa,continua,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,167,predictor candidato,Incluida en el conjunto inicial parsimonioso.,continua_sin_escalar,
horas_trabajo_principal,variable explicativa,numerica,ruta laboral del trabajo principal,0,0.0,139,pendiente,Insumo laboral con ruta o redundancia pendiente; no se incorpora en la matriz inicial.,excluir,
id_trabajo_principal,variable explicativa,codificada_o_conteo,ruta laboral del trabajo principal,5205,0.03676392685355879,1,pendiente,Insumo laboral con ruta o redundancia pendiente; no se incorpora en la matriz inicial.,excluir,
subor_principal,variable explicativa,codificada_o_conteo,ruta laboral del trabajo principal,5205,0.03676392685355879,2,excluida,Se usa la columna descriptiva correspondiente para interpretabilidad.,excluir,
subor_principal_desc,etiqueta descriptiva,categorica,ruta laboral del trabajo principal,5205,0.03676392685355879,2,predictor candidato,Incluida en el conjunto inicial parsimonioso.,one_hot_k_menos_1,Caracteristica del trabajo principal; puede no referir a todos los ingresos laborales/de negocio.
indep_principal,variable explicativa,codificada_o_conteo,ruta laboral del trabajo principal,110134,0.7778978520825829,2,pendiente,Insumo laboral con ruta o redundancia pendiente; no se incorpora en la matriz inicial.,excluir,
indep_principal_desc,etiqueta descriptiva,categorica_descriptiva,ruta laboral del trabajo principal,110134,0.7778978520825829,2,pendiente,Insumo laboral con ruta o redundancia pendiente; no se incorpora en la matriz inicial.,excluir,
pago_principal,variable explicativa,codificada_o_conteo,ruta laboral del trabajo principal,36472,0.2576088261677226,3,pendiente,Insumo laboral con ruta o redundancia pendiente; no se incorpora en la matriz inicial.,excluir,
pago_principal_desc,etiqueta descriptiva,categorica_descriptiva,ruta laboral del trabajo principal,36472,0.2576088261677226,3,diagnostico,Auxiliar para interpretar rutas de variables laborales; no entra a X inicial.,conservar_diagnostico,
contrato_principal,variable explicativa,codificada_o_conteo,ruta laboral asociada a trabajo principal con pago,37124,0.26221402891671786,2,excluida,Se usa la columna descriptiva correspondiente para interpretabilidad.,excluir,
contrato_principal_desc,etiqueta descriptiva,categorica,ruta laboral asociada a trabajo principal con pago,37124,0.26221402891671786,2,predictor candidato,Incluida en el conjunto inicial parsimonioso.,one_hot_k_menos_1,Caracteristica del trabajo principal; puede no referir a todos los ingresos laborales/de negocio.
tiene_suel_principal,variable explicativa,codificada_o_conteo,ruta laboral del trabajo principal,110312,0.7791551006858362,2,pendiente,Insumo laboral con ruta o redundancia pendiente; no se incorpora en la matriz inicial.,excluir,
tiene_suel_principal_desc,etiqueta descriptiva,categorica_descriptiva,ruta laboral del trabajo principal,110312,0.7791551006858362,2,pendiente,Insumo laboral con ruta o redundancia pendiente; no se incorpora en la matriz inicial.,excluir,
tam_emp_principal,variable explicativa,codificada_o_conteo,ruta laboral del trabajo principal,5205,0.03676392685355879,12,excluida,Se usa la columna descriptiva correspondiente para interpretabilidad.,excluir,
tam_emp_principal_desc,etiqueta descriptiva,categorica_descriptiva,ruta laboral del trabajo principal,5205,0.03676392685355879,12,pendiente,"Variable laboral util, pero se excluye de X inicial porque su categoria estructural sin trabajo principal duplica exactamente otra dummy.",conservar_diagnostico,Caracteristica del trabajo principal; puede no referir a todos los ingresos laborales/de negocio.
tiene_trabajo_reportado,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,diagnostico,Relacionado mecanicamente con el universo laboral; no entra a X inicial.,conservar_diagnostico,
ubica_geo,variable explicativa,numerica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,1112,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
tam_loc,geografía,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,4,excluida,Se usa la columna descriptiva correspondiente para interpretabilidad.,excluir,
est_socio,geografía,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,4,diagnostico,Contexto socioeconomico de INEGI; fuera de la matriz inicial hasta justificar su construccion.,conservar_diagnostico,
est_dis,diseño muestral,metadata,"metadata, ponderacion, diseno o geografia detallada",0,0.0,681,metadata,"Identificador, geografia detallada, ponderador o diseno; se excluye de X.",conservar_metadata,Metadata separada de predictores; no se elimina del flujo.
upm,diseño muestral,metadata,"metadata, ponderacion, diseno o geografia detallada",0,0.0,10549,metadata,"Identificador, geografia detallada, ponderador o diseno; se excluye de X.",conservar_metadata,Metadata separada de predictores; no se elimina del flujo.
factor_hogar,diseño muestral,metadata,"metadata, ponderacion, diseno o geografia detallada",0,0.0,1844,metadata,"Identificador, geografia detallada, ponderador o diseno; se excluye de X.",conservar_metadata,Metadata separada de predictores; no se elimina del flujo.
factor,diseño muestral,metadata,"metadata, ponderacion, diseno o geografia detallada",0,0.0,1844,metadata,"Identificador, geografia detallada, ponderador o diseno; se excluye de X.",conservar_metadata,Metadata separada de predictores; no se elimina del flujo.
clase_hog,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,5,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
sexo_jefe,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,excluida,Se usa la columna descriptiva correspondiente para interpretabilidad.,excluir,
edad_jefe,variable explicativa,numerica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,88,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
educa_jefe,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,11,excluida,Se usa la columna descriptiva correspondiente para interpretabilidad.,excluir,
tot_integ,variable explicativa,continua,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,19,predictor candidato,Incluida en el conjunto inicial parsimonioso.,continua_sin_escalar,
hombres,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,13,excluida,Conteo del hogar redundante con composicion seleccionada o totales.,excluir,
mujeres,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,12,excluida,Conteo del hogar redundante con composicion seleccionada o totales.,excluir,
mayores,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,15,excluida,Conteo del hogar redundante con composicion seleccionada o totales.,excluir,
menores,variable explicativa,continua,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,10,predictor candidato,Incluida en el conjunto inicial parsimonioso.,continua_sin_escalar,
p12_64,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,15,excluida,Conteo del hogar redundante con composicion seleccionada o totales.,excluir,
p65mas,variable explicativa,continua,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,6,predictor candidato,Incluida en el conjunto inicial parsimonioso.,continua_sin_escalar,
ocupados,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,12,diagnostico,Relacionado mecanicamente con el universo laboral; no entra a X inicial.,conservar_diagnostico,
percep_ing,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,14,diagnostico,Relacionado mecanicamente con el universo laboral; no entra a X inicial.,conservar_diagnostico,
perc_ocupa,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,12,diagnostico,Relacionado mecanicamente con el universo laboral; no entra a X inicial.,conservar_diagnostico,
ing_cor_hogar_oficial_tri,ingreso,numerica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,76178,excluida,"Variable monetaria, componente de ingreso o derivado potencial del target; evita filtracion.",excluir,
ingtrab_hogar_oficial_tri,ingreso,numerica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,52375,excluida,"Variable monetaria, componente de ingreso o derivado potencial del target; evita filtracion.",excluir,
trabajo_subordinado_hogar_tri,variable explicativa,numerica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,36462,excluida,"Variable monetaria, componente de ingreso o derivado potencial del target; evita filtracion.",excluir,
sueldos_hogar_tri,variable explicativa,numerica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,14851,excluida,"Variable monetaria, componente de ingreso o derivado potencial del target; evita filtracion.",excluir,
negocio_hogar_tri,variable explicativa,numerica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,18487,excluida,"Variable monetaria, componente de ingreso o derivado potencial del target; evita filtracion.",excluir,
rentas_hogar_tri,variable explicativa,numerica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,3567,excluida,"Variable monetaria, componente de ingreso o derivado potencial del target; evita filtracion.",excluir,
transfer_hogar_tri,variable explicativa,numerica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,26056,excluida,"Variable monetaria, componente de ingreso o derivado potencial del target; evita filtracion.",excluir,
otros_ing_hogar_tri,variable explicativa,numerica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,532,excluida,"Variable monetaria, componente de ingreso o derivado potencial del target; evita filtracion.",excluir,
gasto_mon_hogar_tri,variable explicativa,numerica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,80456,excluida,"Variable monetaria, componente de ingreso o derivado potencial del target; evita filtracion.",excluir,
cve_ent,geografía,metadata,"metadata, ponderacion, diseno o geografia detallada",0,0.0,32,metadata,"Identificador, geografia detallada, ponderador o diseno; se excluye de X.",conservar_metadata,"Se conserva para diagnostico territorial, no como predictor inicial junto con region."
entidad,geografía,metadata,"metadata, ponderacion, diseno o geografia detallada",0,0.0,32,metadata,"Identificador, geografia detallada, ponderador o diseno; se excluye de X.",conservar_metadata,"Se conserva para diagnostico territorial, no como predictor inicial junto con region."
region_banxico,geografía,categorica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,4,predictor candidato,Incluida en el conjunto inicial parsimonioso.,one_hot_k_menos_1,No incluir entidad simultaneamente en X inicial porque region se deriva de entidad.
cve_mun,geografía,metadata,"metadata, ponderacion, diseno o geografia detallada",0,0.0,232,metadata,"Identificador, geografia detallada, ponderador o diseno; se excluye de X.",conservar_metadata,
municipio,geografía,metadata,"metadata, ponderacion, diseno o geografia detallada",0,0.0,1067,metadata,"Identificador, geografia detallada, ponderador o diseno; se excluye de X.",conservar_metadata,
clase_hog_desc,etiqueta descriptiva,categorica_descriptiva,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,5,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
educa_jefe_desc,etiqueta descriptiva,categorica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,11,predictor candidato,Incluida en el conjunto inicial parsimonioso.,one_hot_k_menos_1,
est_socio_desc,geografía,categorica_descriptiva,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,4,diagnostico,Contexto socioeconomico de INEGI; fuera de la matriz inicial hasta justificar su construccion.,conservar_diagnostico,
sexo_jefe_desc,etiqueta descriptiva,categorica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,predictor candidato,Incluida en el conjunto inicial parsimonioso.,one_hot_k_menos_1,
tam_loc_desc,geografía,categorica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,4,predictor candidato,Incluida en el conjunto inicial parsimonioso.,one_hot_k_menos_1,
telefono_hogar,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
celular_hogar,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
tv_paga_hogar,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
conex_inte_hogar,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
consumo_hogar,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,31618,0.22332408054866895,2,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
tarjeta_hogar,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
celular_desc_hogar,etiqueta descriptiva,texto_o_categoria,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
conex_inte_desc_hogar,etiqueta descriptiva,texto_o_categoria,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
consumo_desc_hogar,etiqueta descriptiva,texto_o_categoria,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,31618,0.22332408054866895,2,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
tarjeta_desc_hogar,etiqueta descriptiva,texto_o_categoria,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
telefono_desc_hogar,etiqueta descriptiva,texto_o_categoria,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
tv_paga_desc_hogar,etiqueta descriptiva,texto_o_categoria,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
tipo_viv_vivienda,variable explicativa,texto_o_categoria,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,8,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
mat_pared_vivienda,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,8,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
mat_techos_vivienda,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,10,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
mat_pisos_vivienda,variable explicativa,texto_o_categoria,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,4,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
cuart_dorm_vivienda,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,11,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
num_cuarto_vivienda,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,19,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
dotac_agua_vivienda,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,6182,0.04366466778265138,5,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
excusado_vivienda,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,3,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
drenaje_vivienda,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,5,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
disp_elect_vivienda,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,5,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
combustible_vivienda,variable explicativa,texto_o_categoria,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,8,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
